1:LVR:0:POS:org.apache.tools.ant.taskdefs.CVSPass:50:0 |==> 1
2:LVR:0:NEG:org.apache.tools.ant.taskdefs.CVSPass:50:0 |==> -1
3:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:50:1 |==> 0
4:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:50:1 |==> -1
5:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:50:2 |==> 0
6:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:50:2 |==> -2
7:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:50:3 |==> 0
8:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:50:3 |==> -3
9:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:50:4 |==> 0
10:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:50:4 |==> -4
11:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:50:5 |==> 0
12:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:50:5 |==> -5
13:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:50:6 |==> 0
14:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:50:6 |==> -6
15:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:50:7 |==> 0
16:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:50:7 |==> -7
17:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:50:8 |==> 0
18:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:50:8 |==> -8
19:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:50:9 |==> 0
20:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:50:9 |==> -9
21:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:50:10 |==> 0
22:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:50:10 |==> -10
23:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:50:11 |==> 0
24:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:50:11 |==> -11
25:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:50:12 |==> 0
26:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:50:12 |==> -12
27:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:50:13 |==> 0
28:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:50:13 |==> -13
29:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:50:14 |==> 0
30:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:50:14 |==> -14
31:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:50:15 |==> 0
32:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:50:15 |==> -15
33:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:51:16 |==> 0
34:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:51:16 |==> -16
35:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:51:17 |==> 0
36:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:51:17 |==> -17
37:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:51:18 |==> 0
38:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:51:18 |==> -18
39:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:51:19 |==> 0
40:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:51:19 |==> -19
41:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:51:20 |==> 0
42:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:51:20 |==> -20
43:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:51:21 |==> 0
44:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:51:21 |==> -21
45:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:51:22 |==> 0
46:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:51:22 |==> -22
47:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:51:23 |==> 0
48:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:51:23 |==> -23
49:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:51:24 |==> 0
50:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:51:24 |==> -24
51:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:51:25 |==> 0
52:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:51:25 |==> -25
53:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:51:26 |==> 0
54:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:51:26 |==> -26
55:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:51:27 |==> 0
56:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:51:27 |==> -27
57:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:51:28 |==> 0
58:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:51:28 |==> -28
59:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:51:29 |==> 0
60:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:51:29 |==> -29
61:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:51:30 |==> 0
62:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:51:30 |==> -30
63:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:51:31 |==> 0
64:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:51:31 |==> -31
65:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:52:114 |==> 0
66:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:52:114 |==> -114
67:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:52:120 |==> 0
68:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:52:120 |==> -120
69:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:52:53 |==> 0
70:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:52:53 |==> -53
71:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:52:79 |==> 0
72:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:52:79 |==> -79
73:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:52:96 |==> 0
74:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:52:96 |==> -96
75:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:52:109 |==> 0
76:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:52:109 |==> -109
77:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:52:72 |==> 0
78:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:52:72 |==> -72
79:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:52:108 |==> 0
80:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:52:108 |==> -108
81:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:52:70 |==> 0
82:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:52:70 |==> -70
83:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:52:64 |==> 0
84:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:52:64 |==> -64
85:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:52:76 |==> 0
86:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:52:76 |==> -76
87:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:52:67 |==> 0
88:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:52:67 |==> -67
89:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:52:116 |==> 0
90:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:52:116 |==> -116
91:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:52:74 |==> 0
92:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:52:74 |==> -74
93:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:52:68 |==> 0
94:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:52:68 |==> -68
95:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:52:87 |==> 0
96:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:52:87 |==> -87
97:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:53:111 |==> 0
98:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:53:111 |==> -111
99:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:53:52 |==> 0
100:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:53:52 |==> -52
101:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:53:75 |==> 0
102:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:53:75 |==> -75
103:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:53:119 |==> 0
104:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:53:119 |==> -119
105:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:53:49 |==> 0
106:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:53:49 |==> -49
107:LVR:POS:0:org.apache.tools.ant.taskdefs.CVSPass:53:34 |==> 0
108:LVR:POS:NEG:org.apache.tools.ant.taskdefs.CVSPass:53:34 |==> -34
